SN,smiles,bandgap_chain
1743,[*]CCc1ccc(-c2ccc([*])cc2)cc1,4.1864
1744,[*]Oc1c(C)cc(C(c2cc(C)c(OC([*])=O)c(C)c2)(C(F)(F)F)C(F)(F)F)cc1C,4.1871
1745,[*]Oc1ccc(C(c2ccc(OC(=O)c3ccc(C([*])=O)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,4.1871
1746,[*]C(=O)NCCCCCCCCCCNC(=O)c1ccc([*])s1,4.1872
1747,[*]CCCC(=O)NNC(=O)c1cccc(C(=O)NNC(=O)c2cccc(O[*])c2)c1,4.1874
1748,[*]Oc1cccc(OC(=O)c2ccc(Oc3ccc(C([*])=O)cc3)cc2)c1,4.1878
1749,[*]Oc1ccc(-c2ccc(OC(=O)CCCCCCC([*])=O)cc2)cc1,4.188
1750,[*]CCCCCOC(=O)c1cccc(-c2cccc(C(=O)O[*])c2)c1,4.1924
1751,[*]Oc1ccc(C(C)(C)c2ccc(Oc3cncc([*])n3)cc2)cc1,4.1925
1752,[*]OCCOc1cc([*])nc2ccccc12,4.1948
1753,[*]CCC(=O)N(CCN(C(=O)CCN1CCN([*])CC1)C(C)C)C(C)C,4.1956
1754,[*]NC(=O)C(S1)=CC=C1O[*],4.1962
1755,[*]C(=O)Nc1nc(C#N)c([*])n1C,4.1984
1756,[*]Oc1ccc(OC(=O)c2cccc(Oc3cccc(C([*])=O)c3)c2)cc1,4.1992
1757,[*]CCCCCCCCCc1nc2ccc(-c3ccc4nc([*])oc4c3)cc2o1,4.2007
1758,[*]Oc1ccc(Sc2ccc([*])cc2)cc1,4.2009
1759,[*]CCN([*])C(=O)c1c(F)cc(F)c(F)c1F,4.2010000000000005
1760,[*]C(=O)C=CC(=O)N1CC(C)N([*])CC1C,4.2051
1761,[*]CCSSSSCCO[*],4.2061
1762,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc([*])c([N-][N+]#N)c4)cc3[N-][N+]#N)cc2)c([N-][N+]#N)c1,4.2075
1763,[*]C(=O)NNC(=O)c1cncc(C(=O)NNC(=O)c2ccc([*])nc2)c1,4.2104
1764,[*]OCCOCCOc1cc([*])nc2ccc(C)cc12,4.2106
1765,[*]OC(C)CCOC(=O)c1ccc(-c2ccc(C([*])=O)cc2)cc1,4.2106
1766,[*]CC(O)COc1ccc(C(C)(C)c2ccc(O[*])c(Cl)c2)cc1Cl,4.2119
1767,[*]Oc1ccc(Oc2ccc(C(=O)c3ccc([*])cc3)cc2)cc1CC(=O)O,4.212
1768,[*]CC(O)COc1ccc(C(=O)c2ccc(O[*])cc2)cc1,4.2124
1769,[*]CC(=O)OC(=O)COc1ccc(C(C)(C)c2ccc(O[*])cc2)cc1,4.2143
1770,[*]Oc1ccc(C(C)=Nc2ccccc2N=C(C)c2ccc([*])cc2)cc1,4.2147
1771,[*]CCCc1nc2cc3sc([*])nc3cc2s1,4.2161
1772,[*]OC(COC(=O)Nc1ccc(Cc2ccc(NC([*])=O)cc2)cc1)c1ccco1,4.2202
1773,[*]CCOCCOCCOC(=O)C(=O)O[*],4.2233
1774,[*]O[Si](C)(Oc1ccc([*])cc1)c1ccccc1,4.2258
1775,[*]Oc1c(C)cc([*])cc1C(C)CCCC,4.226
1776,[*]NNC(=O)c1ccc(C([*])=O)cc1OCCCCC,4.2275
1777,[*]Oc1c(C)cc([*])cc1C(C)CCC,4.2294
1778,[*]Oc1ccc(S(=O)(=O)c2ccc(OC([*])=O)cc2)cc1,4.2329
1779,[*]NC(CCC(=O)OCc1ccc(C(F)(F)F)cc1)C([*])=O,4.2331
1780,[*]CCOC(=O)CSC(=O)Nc1ccc(Cc2ccc(NC(=O)SCC(=O)O[*])cc2)cc1,4.2361
1781,[*]NCCOCCOCCNC(=O)Nc1cc(NC(=O)N[*])ccc1C,4.2379
1782,[*]Oc1ccc(C(c2ccc(OC([*])=O)cc2)C2CCCCC2)cc1,4.2410000000000005
1783,[*]CCCP(CCCNC(=O)C(=O)N[*])c1ccccc1,4.2412
1784,[*]CC(F)(F)C(F)(F)C(F)(F)COc1c(F)c(F)c(O[*])c(F)c1F,4.2427
1785,[*]CCCCCOC(=O)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=O)O[*])cc2)cc1,4.2435
1786,[*]C(=O)NCCCCCCCCCCNC(=O)c1ccnc([*])c1,4.2437
1787,[*]OCCOC(=O)CCCCC(=O)OCCOc1nc(-c2ccc(OCCCC)cc2)nc([*])c1-c1ccc(OC)cc1,4.2442
1788,[*]OC(=O)C=CC(=O)OC1COC2C([*])COC12,4.2459
1789,[*]Oc1c(Cl)cc(NC(=O)Nc2ccc(Cc3ccc(NC([*])=O)cc3)cc2)cc1Cl,4.2465
1790,[*]Oc1ccc(P(=O)(c2ccccc2)c2ccc([*])cc2)cc1,4.247
1791,[*]C(=O)NCCCCCCNC(=O)c1ccncc1[*],4.2475
1792,[*]Oc1ccc(C2(c3ccc(Oc4nc([*])nc(OC)n4)cc3)CCCCC2)cc1,4.2479
1793,[*]CCCCCNC(=S)N[*],4.2484
1794,[*]CCOC(=O)c1ccc(NC(=O)CCCCCCCC(=O)Nc2ccc(C(=O)O[*])cc2)cc1,4.2501
1795,[*]COc1ccc(C(C)(C)c2ccc(O[*])cc2)cc1,4.2512
1796,[*]Oc1ccc(C(CCC)c2ccc(OC([*])=S)cc2)cc1,4.2521
1797,[*]CC(C)(CO[*])COCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,4.2525
1798,[*]Oc1ccc(Oc2ccc(C=NCCCCCCN=Cc3ccc([*])cc3)cc2)cc1,4.2528
1799,[*]Oc1ccc(C(C)=NN=C(C)c2ccc(OC(=O)CCCCCCCCC([*])=O)cc2)cc1,4.2541
1800,[*]Oc1ccc(Sc2ccc(OC([*])=O)cc2)cc1,4.2554
1801,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(=O)c4ccc([*])cc4)cc3)cc2)cc1,4.2565
1802,[*]c1ccc([*])c(C(=O)c2ccc(F)cc2)c1,4.2587
1803,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)c3c(Cl)c(Cl)c(C([*])=O)c(Cl)c3Cl)cc2)cc1,4.2598
1804,[*]Oc1ccc(P(C)(=O)c2ccc([*])cc2)cc1,4.2617
1805,C(=O)NONC(=O)NC(S1)=CC=C1N,4.2625
1806,[*]Oc1ccc2ccc(OC(=O)Oc3ccc(OC([*])=O)cc3C)cc2c1,4.2626
1807,[*]CCOCCOc1ccc(C=C(C)c2ccc(O[*])cc2)cc1,4.2636
1808,[*]CCCCCCCc1nc2ccc(-c3ccc4nc([*])[nH]c4c3)cc2[nH]1,4.2648
1809,[*]c1ccc(Sc2ccc(Sc3ccc(Sc4ccc(S([*])=O)cc4)cc3)cc2)cc1,4.2649
1810,[*]CCCCc1nc2cc3sc([*])nc3cc2s1,4.2651
1811,[*]Oc1ccc(Oc2ccc(C=NCCN=Cc3ccc([*])cc3)cc2)cc1,4.2677
1812,[*]OC(C)C#CC#CC(C)OC(=O)c1ccc(C([*])=O)cc1,4.2677
1813,[*]C(=O)OC(S1)=CC=C1O[*],4.2683
1814,[*]NC(C=C1)=CC=C1OC(S2)=CC=C2[*],4.2687
1815,[*]CCCCCCCCCCCCc1nc2ccc(-c3ccc4nc([*])oc4c3)cc2o1,4.269
1816,[*]CC([*])C(=O)c1ccc(CC)cc1,4.2696
1817,[*]COc1ccc(C(=C(Cl)Cl)c2ccc(O[*])cc2)cc1,4.27
1818,[*]CCN(CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O[*])cc2)cc1)c1ccccc1,4.271
1819,[*]CC(c1ccccc1)C1C(=O)N(c2ccc(C(=O)Oc3ccc(C=O)cc3)cc2)C(=O)C1[*],4.2725
1820,[*]C([*])(C#N)C#N,4.2738
1821,[*]CCOC(=O)c1ccc(C(=O)O[*])c2c1CC2,4.274
1822,[*]Nc1ccc([*])cc1,4.2754
1823,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C(C)(C)c4ccc([*])cc4)cc3)cc2)c([N-][N+]#N)c1,4.2759
1824,[*]CCCCCCNC(=O)c1c(F)c(F)c(C(=O)N[*])c(F)c1F,4.276
1825,C([*])C(CCCC)=CC([*]),4.2773
1826,[*]CCOc1ccc(C(=O)OC(=O)c2ccccc2C(=O)OC(=O)c2ccc(O[*])cc2)cc1,4.2778
1827,[*]Oc1ccc(C(C)(C)c2ccc(Oc3nc([*])nc(Cl)n3)cc2)cc1,4.279
1828,[*]CNC(=S)N[*],4.2794
1829,[*]Oc1cccc(NC(=O)c2cccc(C(=O)Nc3ccc([*])cc3)c2)c1,4.2795
1830,[*]Oc1ccc(Oc2ccc(C(=O)c3ccc([*])cc3)cc2)cc1COC,4.2796
1831,[*]Oc1cc(C)cc(OC(=O)c2cccc(C([*])=O)c2)c1,4.2802
1832,[*]NCCCCCCNc1nc([*])nc(-c2ccccc2)n1,4.2826
1833,[*]NS(=O)Nc1cccc([*])n1,4.2847
1834,[*]CCOCCOCCOC(=O)c1ccc(C(=O)O[*])cc1,4.285
1835,O([*])CC(F)(F)C(F)(F)C(F)(F)C(F)(F)COC(=O)CCSCCSCCC(=O)([*]),4.2864
1836,[*]CCCCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O[*])cc2)cc1,4.2876
1837,[*]CC([*])C(=O)N(O)c1ccc(C)cc1,4.2901
1838,[*]Oc1c(Cl)cc([*])cc1Br,4.2901
1839,[*]Oc1ccc(OC(=O)c2ccc(OCCCCCCCCOc3ccc(C([*])=O)cc3)cc2)cc1,4.2916
1840,[*]CCOC(=O)Nc1ccc(-c2ccc(NC(=O)O[*])c(C)c2)cc1C,4.2922
1841,[*]c1nc(-c2ccccc2)nc(N([*])C)n1,4.2928
1842,[*]CCOCCOC(=O)c1ccc(Cc2ccc(C(=O)O[*])cc2)cc1,4.2931
1843,[*]C(=O)C1CC(OC(C)=O)CN1[*],4.2937
1844,[*]OP(=O)(Oc1ccccc1)Oc1c(Cl)c(Cl)c([*])c(Cl)c1Cl,4.2965
1845,[*]CCCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2)cc1,4.2973
1846,O([*])c1cc(cc(CCCCCCCCC)c1)OC(=O)c1cc(cc(F)c1)C(=O)([*]),4.2982
1847,[*]C(=NCCCCCC)N([*])CCCCCC,4.2986
1848,[*]Oc1cccc(OC(=O)c2cccc(C([*])=O)c2)c1,4.2987
1849,[*]Oc1ccc(OC(=O)c2ccc(Oc3ccc(C([*])=O)cc3)cc2)cc1Cl,4.2992
1850,[*]C(Cl)=C(Cl)C(Cl)(Cl)C([*])(Cl)Cl,4.2995
1851,[*]Oc1ccc(C(C)=Cc2ccc(OC(=O)OCCCCCCOC([*])=O)cc2)cc1,4.2998
1852,[*]Cc1ccc(COC(=O)c2cccc(C(=O)O[*])c2)cc1,4.3023
1853,[*]CC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],4.3024
1854,[*]Oc1ccc(Oc2cccc([*])n2)c(-c2ccccc2)c1,4.3045
1855,[*]Oc1ccc2ccc(OC(=O)Oc3ccc(OC([*])=O)cc3)cc2c1,4.3045
1856,[*]CCCCCCc1nc2cc3sc([*])nc3cc2s1,4.3056
1857,[*]CCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,4.3065
1858,[*]Oc1cccc(C(=O)OCC(F)(F)C(F)(F)C(F)(F)COC(=O)c2cccc([*])c2)c1,4.3066
1859,[*]Oc1cccc(OC(=O)c2ccc(C(C)(C)c3ccc(C([*])=O)cc3)cc2)c1,4.3071
1860,C(F)(F)NC(F)(F)C(C=C1)=CC=C1,4.3086
1861,[*]C=CC=CCC[*],4.3088
1862,[*]Oc1ccc(Oc2ccc(C=NCCCCN=Cc3ccc([*])cc3)cc2)cc1,4.309
1863,[*]C=C([*])CNS(=O)(=O)Cc1ccccc1,4.3099
1864,[*]OC(C)CCOC(=O)c1cccc(C([*])=O)c1,4.3109
1865,[*]Oc1cccc(Oc2cccc([*])c2)c1C#N,4.3119
1866,[*]Cc1ccc(COC(=O)CCCCSCCCCC(=O)O[*])cc1,4.3125
1867,[*]CCOCCOCCOC(=O)CSC(=O)Nc1ccc(C)c(NC(=O)SCC(=O)O[*])c1,4.3129
1868,[*]C1C(=O)N(c2ccc(C)cc2)C(=O)C1[*],4.3143
1869,[*]CC([*])C=O,4.3172
1870,[*]CCCCCc1nc2cc3sc([*])nc3cc2s1,4.3183
1871,[*]Oc1ccc(C(=O)NNC(=O)c2ccc([*])cc2)cc1,4.3207
1872,[*]Cc1cccc(CNC(=O)C=C(C)C(=O)N[*])c1,4.3212
1873,[*]Oc1ccc(S(=O)(=O)c2ccc([*])cc2)cc1,4.3214
1874,[*]NC(C([*])=O)C(Cc1ccccc1)c1c[nH]cn1,4.3219
1875,[*]CCc1c(Cl)c(Cl)c([*])c(Cl)c1Cl,4.3241
1876,[*]CCCCCCCCCCCCc1nc2cc3sc([*])nc3cc2s1,4.3242
1877,[*]OC(C)COC(=O)c1ccc(C([*])=O)cc1,4.3271
1878,[*]Oc1cc(CCCCCCCCC)cc(OC(=O)c2cccc(C([*])=O)c2)c1,4.3277
1879,[*]CNC(S1)=CC=C1N[*],4.3295
1880,[*]Oc1ccc(-c2ccc(Oc3ccc(C(C)(C)c4ccc([*])cc4)cc3)cc2)cc1,4.3326
1881,[*]Oc1c(C)cc(C(=O)c2ccc([*])cc2)cc1C,4.3374
1882,[*]Oc1ccc(NC(=O)Nc2ccc(Cc3ccc(NC([*])=O)cc3)cc2)cc1C,4.3385
1883,[*]Oc1ccc2c(c1)C1(CC2(C)C)CC(C)(C)c2ccc(OC([*])=O)cc21,4.341
1884,[*]COC(=O)Nc1ccc(Cc2ccc(NC(=O)OCc3cocc3[*])cc2)cc1,4.342
1885,[*]Oc1ccc(C2(c3ccc(OC([*])=O)c(Cl)c3)CC3CCC2C3)cc1Cl,4.342
1886,[*]Oc1c(OC)cc([*])cc1OC,4.3423
1887,[*]Oc1cc(CCCCCCCC)cc(OC(=O)c2cccc(C([*])=O)c2)c1,4.3424
1888,[*]NC(C=C1)=CC=C1C(=O)O[*],4.3431
1889,[*]CCCCCCCCc1nc2cc3sc([*])nc3cc2s1,4.3432
1890,[*]Sc1ccc(Cc2ccc(SC([*])=O)cc2)cc1,4.3437
1891,[*]CNC(C=C1)=CC=C1O[*],4.3453
1892,[*]Oc1ccc(C2(c3ccc(OC([*])=O)c(C)c3)CC3CCC2C3)cc1C,4.3462
1893,[*]Oc1ccc(C(=C(Cl)Cl)c2ccc(OC([*])=O)cc2)cc1,4.3471
1894,[*]CNC(=O)C(S1)=CC=C1[*],4.3473
1895,[*]CCCCOC(=O)c1cccc(NC(=O)O[*])c1,4.3503
1896,[*]Oc1cccc([*])c1C#N,4.3557
1897,[*]CC(C)(C)COC(=O)NC(=O)c1ccc(C(=O)NC(=O)O[*])cc1,4.3578
1898,[*]CC([*])OC(=O)c1ccc(OC)cc1,4.3587
1899,[*]OS(=O)(=O)c1cc(C)c([*])c(C)c1,4.3607
1900,[*]CC(=O)NC(=O)[*],4.3608
1901,[*]C(=O)SSCCCCCCSSC(=O)N1CCN([*])CC1,4.3614
1902,[*]OC(=O)c1ccc(CCCCCCc2ccc(C([*])=O)cc2)cc1,4.3642
1903,[*]OC(=O)CSCCSCC([*])=O,4.3646
1904,[*]CCCCc1nnc(-c2cccc(-c3nnc([*])o3)c2)o1,4.365
1905,[*]CCCCCCCOc1ccc(OCc2ccc(COc3ccc(O[*])cc3)cc2)cc1,4.3660000000000005
1906,[*]OC(C)COC(C)COC(=O)c1ccc(C([*])=O)cc1,4.3685
1907,[*]OC(COc1ccccc1)CC([*])=O,4.3685
1908,[*]CCCCCCCCCCOC(=O)c1cccc(-c2cccc(C(=O)O[*])c2)c1,4.3702
1909,[*]Oc1cc(Br)c(C(C)(C)c2c(Br)cc(OC([*])=O)cc2Br)c(Br)c1,4.3708
1910,[*]c1cc(C)c([*])cn1,4.3718
1911,[*]Oc1ccc(Oc2cccc([*])n2)cc1,4.3725
1912,[*]CCCc1nc2cc(-c3ccc4[nH]c([*])nc4c3)ccc2[nH]1,4.3737
1913,[*]CCOCCOCCOCCOCCOCCOC(=O)c1cccc(C(=O)O[*])c1,4.3767
1914,[*]CCOC(=O)c1ccc(-c2ccc(C(=O)O[*])cc2C)c(C)c1,4.3776
1915,[*]CNOC(S1)=CC=C1[*],4.3792
1916,[*]CC#CC#CCOc1ccc(C(C)(C)c2ccc(O[*])cc2)cc1,4.3802
1917,[*]CCOC(=O)c1ccc(C(C)(CC)c2ccc(C(=O)O[*])cc2)cc1,4.3825
1918,[*]Oc1cccc(NC(=O)c2ccc([*])cc2)c1,4.3857
1919,[*]CC(=O)C(C=C1)=CC=C1C(=O)[*],4.3858
1920,[*]CCCCOC(=O)c1cccc(-c2cccc(C(=O)O[*])c2)c1,4.388
1921,[*]CCCCCCCCCCNC(=N[*])c1ccccc1,4.39
1922,[*]Cc1c(C)c(C)c(CSC(=O)CCC(=O)S[*])c(C)c1C,4.3904
1923,[*]CC(C=C1)=CC=C1C(C=C2)=CC=C2O[*],4.3907
1924,[*]NC(Cc1ccc(O)cc1)C([*])=O,4.392
1925,C(F)(F)C(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2,4.3932
1926,[*]CC([*])C(=O)NCCc1ccccn1,4.3946
1927,[*]CCCCCCCCc1nnc(-c2cccc(-c3nnc([*])o3)c2)o1,4.3961
1928,[*]OP(=O)(Oc1ccc(-c2ccc([*])cc2)cc1)OC1CCCCC1,4.3965
1929,[*]Oc1cc(CCCCCCCCCCC)cc(OC(=O)c2cccc(C([*])=O)c2)c1,4.3966
1930,[*]C(C=C1)=CC=C1C(=O)NC(=O)[*],4.3975
1931,[*]c1nc(C)nc(N([*])C)n1,4.3978
1932,[*]Oc1ccc(OC(=O)c2ccc(OCCCCCCCCCCOc3ccc(C([*])=O)cc3)cc2)cc1S(=O)(=O)c1ccccc1,4.3987
1933,[*]OC(=O)c1ccc(C(C)(C)c2ccc(C([*])=O)cc2)cc1,4.402
1934,[*]Oc1c(Br)cc([*])cc1Br,4.4036
1935,[*]CC(=O)CC(S1)=CC=C1[*],4.4041
1936,[*]OC(F)(F)COC(=O)c1cccc(C(=O)OCC([*])(F)F)c1,4.4051
1937,[*]C(=O)c1cccc(C(=O)N2COCN2[*])c1,4.4061
1938,[*]CC(C=C1)=CC=C1NC(C=C2)=CC=C2[*],4.4071
1939,[*]Oc1ccc(C2(c3ccc(OC([*])=O)cc3)c3ccccc3-c3ccccc32)cc1,4.4088
1940,[*]Oc1ccc(C(=O)OCCCOC(=O)c2ccc([*])cc2)cc1,4.4089
1941,[*]CCCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,4.4092
1942,[*]Oc1ccc(NC(=O)OCCOC(=O)Nc2ccc([*])cc2)cc1,4.4102
1943,[*]c1cc([*])cc(C23CC4CC(CC(C4)C2)C3)c1,4.4142
1944,[*]Oc1ccc(C(C)=NCCN=C(C)c2ccc([*])cc2)cc1,4.4147
1945,[*]NC(S1)=CC=C1OC(S2)=CC=C2[*],4.415
1946,[*]CCN(CCOC(=O)Nc1ccc(C)c(NC(=O)O[*])c1)c1ccccc1,4.4152
1947,[*]Oc1ccc(C(=O)OCCCCOC(=O)c2ccc([*])cc2)cc1,4.4175
1948,[*]Nc1ccc(NC(=O)Cc2cc(CC([*])=O)c(C)cc2C)cc1,4.4183
1949,[*]C=CC1CC([*])C2C(=O)N(c3ccccc3C)C(=O)C12,4.4184
1950,[*]CC([*])c1ccc2c(c1)OCO2,4.4197
1951,[*]Oc1ccc(C(c2ccc(OC([*])=O)cc2)(C(F)(F)Cl)C(F)(F)Cl)cc1,4.421
1952,[*]CC(S1)=CC=C1C(=O)O[*],4.4211
1953,[*]c2cccc(NC(=O)CCCCC(=O)Nc1ccc(S([*])(=O)=O)cc1)c2,4.4211
1954,[*]NNC(=O)c1cccc(C(=O)NNC(=O)C([*])=O)c1,4.4213
1955,[*]CC(C=C1)=CC=C1NC(S2)=CC=C2[*],4.4229
1956,[*]CC([*])c1ccc(C(O)CCN2CCOCC2)cc1,4.4244
1957,[*]CC1CCC(COC(=O)c2ccc(NC(=O)O[*])cc2)CC1,4.4247
1958,[*]C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2[*],4.427
1959,[*]CC(=O)CC(C=C1)=CC=C1[*],4.4275
1960,[*]Oc1c(Cl)cc(C2(c3cc(Cl)c(OC([*])=O)c(Cl)c3)CC3CC2C2CCCC32)cc1Cl,4.4278
1961,[*]CC([*])C(=O)SC(C)CC,4.4293
1962,[*]CC(C)COC(=O)c1ccc(C(=O)O[*])cc1,4.4298
1963,[*]Oc1cccc(C(=O)c2ccc([*])cc2)c1,4.4309
1964,[*]Cc1cccc([*])c1O,4.4317
1965,[*]CCc1ccc([*])c(Cl)c1,4.4319
1966,[*]Oc1c(CC)cc([*])cc1-c1ccccc1,4.4322
1967,[*]CCC(=O)C(C=C1)=CC=C1[*],4.4327
1968,[*]COc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,4.4348
1969,[*]Oc1ccc(C(C)(C)c2ccc(OC(=O)C([*])=O)cc2)cc1,4.435
1970,[*]Nc1c(Br)cc([*])cc1Br,4.4355
1971,[*]CCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,4.4379
1972,[*]OC(=O)CCSc1ccc(SCCC([*])=O)cc1,4.4389
1973,[*]Oc1ccc(-c2ccc(OC(=O)CCCCCC([*])=O)cc2)cc1,4.4404
1974,[*]Oc1cc(C)c([*])cc1C,4.4406
1975,[*]Oc1ccc(C(=O)OC(=O)c2ccc([*])cc2)cc1,4.441
1976,[*]CC(C=C1)=CC=C1CC(S2)=CC=C2[*],4.4417
1977,[*]CC(=O)OC(=O)COc1cccc(O[*])c1,4.4439
1978,[*]c1cc(C(=O)OC)cc(N2C(=O)CC(C3Cc4ccccc4C4C(=O)N([*])C(=O)C43)C2=O)c1,4.4448
1979,[*]OC(=O)c1ccc(CCCc2ccc(C([*])=O)cc2)cc1,4.4456
1980,[*]Oc1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc([*])cc2)cc1,4.4458
1981,[*]Oc1ccc(-c2ccc(OC(=O)CCCCCCCCCCCC([*])=O)cc2)cc1,4.4465
1982,[*]CCOC(=O)c1ccc(C(=O)NCCCCCCCCCCCCNC(=O)c2ccc(C(=O)O[*])cc2)cc1,4.4473
1983,[*]CCCCCCC(=O)OCCOC(=O)c1ccc(O[*])cc1,4.4498
1984,[*]c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(S([*])(=O)=O)cc2)cc1,4.4501
1985,[*]Oc1ccc(CC(Cc2ccc([*])cc2)(C(=O)OCC)C(=O)OCC)cc1,4.4566
1986,[*]Oc1ccc(NC(=O)NC2CC(C)(C)CC(C)(CNC(=O)Nc3ccc([*])cc3)C2)cc1,4.4573
1987,[*]Oc1c(Cl)cc([*])cc1Cl,4.4578
1988,[*]OC(=O)CCSCCC([*])=O,4.4582
1989,[*]OC(=O)Oc1ccc(C(=O)Oc2ccc(OC(=O)OC3COC4C([*])COC34)cc2)cc1,4.4586
1990,[*]CCCCCCOC(=O)c1cccc(-c2cccc(C(=O)O[*])c2)c1,4.4604
1991,[*]CCC(=O)Oc1ccc(OC(=O)CCN2CCN([*])C(C)C2)cc1,4.4609
1992,[*]CCOC(=O)c1ccc(O[*])cc1C,4.462
1993,[*]CC([*])c1cc(Br)ccc1OCC,4.4644
1994,[*]CNC(S1)=CC=C1O[*],4.4645
1995,[*]CCCCCCOC(=O)OCCCCCCOC(=O)OCCCCCCOc1ccc(Oc2ccc(O[*])cc2)cc1,4.465
1996,[*]Cc1ccc(COC(=O)Cc2ccc(C(=O)O[*])cc2)cc1,4.4684
1997,[*]CCCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,4.4701
1998,[*]NC(CCCNC(=O)c1ccc(Br)cc1)C([*])=O,4.4704
1999,[*]CNC(=S)O[*],4.4724
2000,[*]Oc1ccc(C(c2ccc(OC([*])=O)cc2)C(Cl)(Cl)Cl)cc1,4.4725
2001,[*]CCCCc1nc2cc3nc([*])[nH]c3cc2[nH]1,4.4728
2002,[*]CCOC(=O)c1ccc(O[*])c(C)c1,4.4733
2003,[*]CC(=O)NC(S1)=CC=C1[*],4.4733
2004,[*]SC(=O)OCC(C)(C)COC(=O)SN1CCN([*])CC1,4.4766
2005,[*]Oc1ccc(C(=O)CCCCC(=O)c2ccc(OC([*])=O)cc2)cc1,4.4774
2006,[*]CC(=O)NCCCCCCNC(=O)COc1ccc(O[*])cc1,4.4776
2007,[*]C=CC1CC([*])C2C(=O)N(CCCCCC)C(=O)C12,4.4782
2008,[*]CC([*])C(=O)Oc1ccc(OC)cc1,4.4785
2009,[*]Oc1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc([*])cc2)cc1,4.4789
2010,[*]Oc1c(Cl)cc(C(c2cc(Cl)c(OC([*])=O)c(Cl)c2)C(Cl)(Cl)Cl)cc1Cl,4.4804
2011,[*]CCCCCCCCc1nc2ccc(-c3ccc4nc([*])oc4c3)cc2o1,4.4813
2012,[*]CCN([*])C(=O)c1cccs1,4.4831
2013,[*]Nc1nc([*])nc(Cl)n1,4.4835
2014,[*]Oc1cc(CCCCCCCCCCCCC)cc(OC(=O)c2cccc(C([*])=O)c2)c1,4.4853
2015,[*]C(=O)N([*])C(C)C(C)=O,4.4859
2016,[*]CC([*])c1ccc(C(=O)CCCC)cc1,4.4871
2017,[*]NC(CSC(=O)OCc1ccccc1)C([*])=O,4.4872
2018,[*]Nc1ccc([*])cc1I,4.4895
2019,[*]CCCCOc1ccc(C(=O)OC(=O)c2ccc(O[*])cc2)cc1,4.4911
2020,[*]c1nc(Cl)nc(N([*])c2ccccc2)n1,4.493
2021,[*]OC(=O)CCSCc1ccc(CSCCC([*])=O)cc1,4.4934
2022,[*]CCc1ccc([*])c(C#N)c1,4.4939
2023,[*]Oc1ccc(C(C)(C)c2cc(Cl)c(OC([*])=O)c(Cl)c2)cc1,4.494
2024,[*]NNC(=O)c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccc(C([*])=O)cc2)cc1,4.4942
2025,[*]Oc1ccc(C(=O)OCCOCCOC(=O)c2ccc(OC([*])=O)cc2)cc1,4.4942
2026,[*]C(C#N)=C([*])c1ccccc1,4.4976
2027,[*]c1ccc(Oc2ccc(N3C(=O)N([*])C3=O)cc2)cc1,4.4993
2028,[*]c1cccc(-c2nnc(-c3nnc([*])o3)o2)c1,4.4994
2029,[*]CC(=O)NC(C=C1)=CC=C1[*],4.5019
2030,[*]CCCCC(=O)OCCOC(=O)c1ccc(O[*])cc1,4.5036
2031,[*]Oc1ccc(C(=O)c2ccc(OC(=O)OC3C(C)(C)C(OC([*])=O)C3(C)C)cc2)cc1,4.5062
2032,[*]Nc1cccc(NC(=O)Cc2cc(CC([*])=O)c(C)cc2C)c1,4.5068
2033,[*]Oc1cccc(Oc2cccc([*])n2)c1,4.5072
2034,[*]C(=O)NCCCCCCCCCCNC(=O)c1ccc([*])nc1,4.5078
2035,[*]Oc1ccc(Sc2ccc(Sc3ccc(Sc4ccc([*])cc4)cc3)cc2)cc1,4.5081
2036,[*]OC(c1cccc([N+](=O)[O-])c1)C(C)(C)C([*])=O,4.5099
2037,[*]CC(O)CN([*])c1cc(C)cc(C)c1,4.5108
2038,[*]Oc1c(C)cc([*])cc1C,4.5131
2039,[*]Nc1ccc(NC(=O)CCCCCCCC([*])=O)cc1,4.5154
